scene,frame,id,type,loc_x,loc_y,loc_z
0000,0,1,Cyclist,1.6404,1.67566,5.776261
0000,0,2,Pedestrian,6.301919,1.6524189999999999,8.455685
0000,1,1,Cyclist,1.7006400000000002,1.6404189999999998,5.778596
0000,1,2,Pedestrian,6.352093,1.593046,8.156156
0000,2,1,Cyclist,1.76088,1.605178,5.780931
0000,2,2,Pedestrian,6.409693,1.533561,7.859055000000001
0000,3,1,Cyclist,1.821119,1.569936,5.783265
0000,3,2,Pedestrian,6.463579,1.4741309999999999,7.560739
0000,4,1,Cyclist,1.881359,1.5346950000000001,5.7856
0000,4,2,Pedestrian,6.516488,1.497786,7.267796000000001
0000,5,1,Cyclist,1.8951259999999999,1.5546209999999998,5.811552
0000,5,2,Pedestrian,6.569396,1.521441,6.9748529999999995
0000,6,1,Cyclist,1.908893,1.574546,5.837503
0000,7,1,Cyclist,1.9226599999999998,1.594472,5.863455
0000,8,1,Cyclist,1.9364270000000001,1.6143969999999999,5.889406
0000,9,1,Cyclist,1.950193,1.6343219999999998,5.915358
0000,10,1,Cyclist,1.950046,1.634862,5.9803
0000,11,1,Cyclist,1.9498990000000003,1.635402,6.045242
0000,12,1,Cyclist,1.9497520000000002,1.635942,6.110183999999999
0000,13,1,Cyclist,1.9496040000000001,1.6364809999999999,6.175126000000001
0000,14,1,Cyclist,1.949457,1.6370209999999998,6.240068
0000,15,1,Cyclist,1.925884,1.6693919999999998,6.326126
0000,16,1,Cyclist,1.902311,1.7017630000000001,6.412183
0000,17,1,Cyclist,1.8787369999999999,1.734134,6.498241
0000,18,1,Cyclist,1.855164,1.766505,6.5842979999999995
0000,19,1,Cyclist,1.831591,1.798876,6.670355000000001
0000,20,1,Cyclist,1.7797470000000002,1.7924790000000002,6.761353
0000,21,1,Cyclist,1.727903,1.786082,6.85235
0000,22,1,Cyclist,1.676059,1.779685,6.943347
0000,23,1,Cyclist,1.624215,1.7732880000000002,7.034344
0000,24,1,Cyclist,1.572371,1.766891,7.125341000000001
0000,25,1,Cyclist,1.477971,1.747422,7.216373
0000,26,1,Cyclist,1.38357,1.7279529999999999,7.307405
0000,27,1,Cyclist,1.2891700000000001,1.7084840000000001,7.3984369999999995
0000,28,1,Cyclist,1.19477,1.6890150000000002,7.489468
0000,29,1,Cyclist,1.10037,1.669546,7.5805
0000,30,1,Cyclist,0.9972979999999999,1.6642009999999998,7.655361
0000,31,1,Cyclist,0.8942260000000001,1.658857,7.730222
0000,32,1,Cyclist,0.791155,1.6535119999999999,7.805084
0000,33,1,Cyclist,0.688083,1.6481669999999997,7.879944999999999
0000,34,1,Cyclist,0.585011,1.6428220000000002,7.954806
0000,35,1,Cyclist,0.502101,1.6446,7.98912
0000,36,1,Cyclist,0.41918999999999995,1.646378,8.023434
